Steps: 16384/2000000, elapsed: 26.0s, recent_avg_return: -240.07
Steps: 32768/2000000, elapsed: 50.7s, recent_avg_return: -175.51
Steps: 49152/2000000, elapsed: 74.1s, recent_avg_return: -138.52
Steps: 65536/2000000, elapsed: 99.3s, recent_avg_return: -106.92
Steps: 81920/2000000, elapsed: 124.2s, recent_avg_return: -85.84
Steps: 98304/2000000, elapsed: 149.1s, recent_avg_return: -62.61
Steps: 114688/2000000, elapsed: 173.1s, recent_avg_return: -50.78
Steps: 131072/2000000, elapsed: 199.1s, recent_avg_return: -36.43
Steps: 147456/2000000, elapsed: 223.6s, recent_avg_return: -17.75
Steps: 163840/2000000, elapsed: 250.1s, recent_avg_return: -16.14
Saved checkpoint: checkpoints_lunarlander/ckpt_163840.pth
Steps: 180224/2000000, elapsed: 277.8s, recent_avg_return: 3.52
Steps: 196608/2000000, elapsed: 305.2s, recent_avg_return: 11.68
Steps: 212992/2000000, elapsed: 334.2s, recent_avg_return: 17.90
Steps: 229376/2000000, elapsed: 363.0s, recent_avg_return: 2.03
Steps: 245760/2000000, elapsed: 392.6s, recent_avg_return: 16.40
Steps: 262144/2000000, elapsed: 422.1s, recent_avg_return: 8.80
Steps: 278528/2000000, elapsed: 451.3s, recent_avg_return: 35.22
Steps: 294912/2000000, elapsed: 481.6s, recent_avg_return: 22.47
Steps: 311296/2000000, elapsed: 510.4s, recent_avg_return: 16.72
Steps: 327680/2000000, elapsed: 541.1s, recent_avg_return: 46.56
Saved checkpoint: checkpoints_lunarlander/ckpt_327680.pth
Steps: 344064/2000000, elapsed: 571.4s, recent_avg_return: 24.26
Steps: 360448/2000000, elapsed: 602.9s, recent_avg_return: -20.28
Steps: 376832/2000000, elapsed: 635.8s, recent_avg_return: 14.41
Steps: 393216/2000000, elapsed: 667.5s, recent_avg_return: 14.33
Steps: 409600/2000000, elapsed: 699.3s, recent_avg_return: 25.52
Steps: 425984/2000000, elapsed: 729.5s, recent_avg_return: 18.57
Steps: 442368/2000000, elapsed: 761.3s, recent_avg_return: 17.86
Steps: 458752/2000000, elapsed: 793.1s, recent_avg_return: 21.35
Steps: 475136/2000000, elapsed: 823.4s, recent_avg_return: 19.69
Steps: 491520/2000000, elapsed: 856.0s, recent_avg_return: 53.15
Saved checkpoint: checkpoints_lunarlander/ckpt_491520.pth
Steps: 507904/2000000, elapsed: 889.8s, recent_avg_return: 96.09
Steps: 524288/2000000, elapsed: 922.9s, recent_avg_return: 98.27
Steps: 540672/2000000, elapsed: 955.3s, recent_avg_return: 81.62
Steps: 557056/2000000, elapsed: 988.5s, recent_avg_return: 59.85
Steps: 573440/2000000, elapsed: 1021.8s, recent_avg_return: 57.98
Steps: 589824/2000000, elapsed: 1053.2s, recent_avg_return: 59.41
